sinal,qtd,pct_base
sanctions_tx_hits,2,0.0
sanctions_kyc_hits,9,0.36
pep_customers,80,3.2
high_risk_kyc_customers,196,7.84
medium_risk_kyc_customers,658,26.32
high_risk_mcc_merchants,349,34.9
merchant_high_risk_flag_yes,186,18.6
ip_anomaly_yes,190,0.37
ip_proxy_vpn_tor_yes,0,0.0
device_rooted_yes,1562,3.0
cross_border_yes,10113,19.45
country_risk_geo_high,590,1.13
country_risk_ip_high,268,0.52
country_risk_sender_high,75,0.14
country_risk_receiver_high,515,0.99
card_no_3ds,4633,8.91
card_ecommerce_no_3ds,4633,8.91
round_amounts_100,6,0.01
round_amounts_1000,0,0.0
cash_large_50k_proxy_possible,90,0.17
