sender_id,month,tx_count,pix_cashout_count,pix_cashin_count,total_amount,avg_amount,max_amount,unique_receivers,round_100,ip_anom_count,vpn_count,rooted_count,sanctions_tx_count,cross_border_count,card_no3ds_count,high_country_count,customer_id,annual_income_brl,risk_rating,pep,sanctions_list_hit,declared_occupation,kyc_risk_score,amount_annual_income_ratio,flag_out_of_profile,flag_velocity_round,flag_sanctions_or_pep,flag_ip_device,flag_cross_border,flag_card_no3ds,flag_high_country,rule_like_flags_count
C101277,2025-07,9,5,0,44667.5,4963.055555555556,21683.44,9,0,0,0,1,0,4,2,1,C101277,13913,Low,Yes,No,Store Owner,58,3.21048659527061,True,False,True,True,True,False,True,5
C101853,2025-08,9,3,0,140624.62,15624.957777777778,102037.12,9,0,0,0,1,0,1,3,0,C101853,28974,Low,No,No,Student,49,4.853476220059363,True,False,False,True,True,True,False,4
C102128,2025-09,12,6,0,97851.63,8154.302500000001,36530.28,12,0,0,0,2,0,2,3,0,C102128,41767,High,No,No,Accountant,35,2.34279766322695,True,False,False,True,True,True,False,4
C102093,2025-07,12,6,0,89215.78,7434.6483333333335,28584.45,12,0,0,0,0,0,1,1,1,C102093,7766,Low,Yes,No,Chef,63,11.487996394540303,True,False,True,False,True,False,True,4
C100237,2025-07,7,5,0,86017.98,12288.282857142856,44669.43,7,0,0,0,1,0,1,1,1,C100237,18492,Medium,No,No,Nurse,80,4.651632057105775,True,False,False,True,True,False,True,4
C100546,2025-07,8,4,0,84845.96,10605.745,51500.3,8,0,0,0,1,0,2,2,0,C100546,13744,Low,Yes,No,Driver,85,6.173309080325961,True,False,True,True,True,False,False,4
C100837,2025-08,13,6,0,83531.09000000001,6425.468461538462,27304.7,13,0,0,0,3,0,3,1,0,C100837,7577,Medium,Yes,No,Accountant,59,11.024295895473143,True,False,True,True,True,False,False,4
C101048,2025-07,17,9,0,81220.28,4777.663529411765,24128.51,17,0,0,0,3,0,5,1,0,C101048,13616,Medium,Yes,No,Mechanic,82,5.965061692126909,True,False,True,True,True,False,False,4
C101647,2025-07,12,6,0,80013.25,6667.770833333333,34846.43,12,0,0,0,1,0,4,0,1,C101647,12733,Low,No,No,Entrepreneur,63,6.28392758972748,True,False,False,True,True,False,True,4
C101082,2025-07,11,5,0,73158.59,6650.780909090909,25503.73,11,0,0,0,2,0,3,3,0,C101082,3061,Low,No,No,Student,93,23.900225416530546,True,False,False,True,True,True,False,4
C102403,2025-09,7,3,0,69049.86,9864.265714285715,45011.33,7,0,0,0,1,0,2,1,1,C102403,22484,Low,No,No,Student,80,3.0710665362035225,True,False,False,True,True,False,True,4
C101435,2025-07,11,4,0,66950.65000000001,6086.4227272727285,21189.28,11,0,2,0,0,0,3,0,2,C101435,27971,Medium,No,No,Teacher,62,2.3935737013335245,True,False,False,True,True,False,True,4
C102306,2025-07,9,7,0,66948.39,7438.71,19689.15,9,0,0,0,1,0,2,0,1,C102306,21412,Low,No,No,Teacher,61,3.126676162899309,True,False,False,True,True,False,True,4
