coluna,tipo,n_null_excel,pct_null_excel,n_semantico_vazio_na,pct_semantico_vazio_na,n_unicos,exemplo
transaction_id,object,0,0.0,0,0.0,52000,T9HIMVHJ8TMK7
timestamp,object,0,0.0,0,0.0,51837,2025-09-29T01:19:37
transaction_type,object,0,0.0,0,0.0,3,PIX
sender_id,object,0,0.0,0,0.0,3497,C100602
sender_entity_type,object,0,0.0,0,0.0,2,customer
receiver_id,object,0,0.0,0,0.0,3485,M200223
receiver_entity_type,object,0,0.0,0,0.0,2,merchant
amount_brl,float64,0,0.0,0,0.0,50201,3478.73
amount_orig,float64,0,0.0,0,0.0,50191,3478.73
currency,object,0,0.0,0,0.0,3,BRL
fx_to_brl,int64,0,0.0,0,0.0,3,1
status,object,0,0.0,0,0.0,4,Confirmed
channel,object,0,0.0,0,0.0,4,App
capture_method,object,0,0.0,0,0.0,11,CopyPaste
payment_method,object,0,0.0,34070,65.52,3,credit
installments,int64,0,0.0,0,0.0,8,1
issuing_or_acquiring,object,0,0.0,34070,65.52,3,acquiring
pix,object,0,0.0,0,0.0,2,Yes
pix_flow,object,0,0.0,20453,39.33,3,cash_out
card_brand,object,0,0.0,34070,65.52,6,Visa
card_present,object,0,0.0,34070,65.52,3,Yes
auth_3ds,object,0,0.0,44905,86.36,3,No
eci,object,0,0.0,44905,86.36,4,07
mcc,int64,0,0.0,0,0.0,14,6051
geo_country,object,0,0.0,0,0.0,20,BR
geolocation_lat,float64,0,0.0,0,0.0,51973,-11.743364
geolocation_lon,float64,0,0.0,0,0.0,51977,-54.286939
ip_country,object,0,0.0,0,0.0,20,DE
ip_anomaly,object,0,0.0,0,0.0,2,No
ip_proxy_vpn_tor,object,0,0.0,48337,92.96,4,VPN
device_fingerprint,object,0,0.0,0,0.0,52000,poq50ptmz8g3pgoh
ip_address,object,0,0.0,0,0.0,52000,193.59.218.134
device_rooted,object,0,0.0,0,0.0,2,No
sender_country,object,0,0.0,0,0.0,20,BR
receiver_country,object,0,0.0,0,0.0,20,BR
country_risk_geo,object,0,0.0,0,0.0,3,Low
country_risk_ip,object,0,0.0,0,0.0,3,Low
country_risk_sender,object,0,0.0,0,0.0,3,Low
country_risk_receiver,object,0,0.0,0,0.0,3,Low
cross_border,object,0,0.0,0,0.0,2,No
sanctions_screening_hit,object,0,0.0,0,0.0,2,No
