sender_id,tx_count,counterparties,avg_amount,tx_window_days,tx_per_day
M200080,2,2,4446.81,1,2.0
M200086,2,2,5982.11,1,2.0
M200969,3,3,6728.89,2,1.5
M200022,1,1,2177.24,1,1.0
M200041,1,1,2236.46,1,1.0
M200049,1,1,2183.96,1,1.0
M200079,1,1,1764.82,1,1.0
M200113,1,1,7727.11,1,1.0
M200126,1,1,5411.61,1,1.0
M200155,1,1,4312.5,1,1.0
M200163,1,1,2449.01,1,1.0
M200197,1,1,3085.04,1,1.0
M200235,1,1,3606.31,1,1.0
M200237,1,1,5476.41,1,1.0
M200292,1,1,7981.5,1,1.0
M200327,1,1,10703.95,1,1.0
M200331,1,1,1790.83,1,1.0
M200338,1,1,943.48,1,1.0
M200394,1,1,1345.92,1,1.0
M200461,1,1,12474.77,1,1.0
M200520,1,1,3502.8,1,1.0
M200696,1,1,10638.3,1,1.0
M200703,1,1,902.36,1,1.0
M200742,1,1,2983.75,1,1.0
M200750,1,1,4767.86,1,1.0
M200755,1,1,5201.18,1,1.0
M200804,1,1,4889.15,1,1.0
M200833,1,1,1331.7,1,1.0
M200848,1,1,3213.62,1,1.0
M200929,1,1,3146.76,1,1.0
M200949,1,1,4503.16,1,1.0
M200353,4,4,3537.77,8,0.5
M200448,3,3,3505.31,6,0.5
M200118,2,2,33973.41,4,0.5
M200148,2,2,3749.16,4,0.5
M200404,2,2,863.98,4,0.5
M200641,2,2,2874.52,4,0.5
M200678,2,2,7777.34,4,0.5
C101388,21,20,3869.86,49,0.429
M200214,3,3,10815.51,7,0.429
M200638,3,3,4542.32,7,0.429
M200673,3,3,6534.73,7,0.429
C100590,35,35,4700.22,85,0.412
C101341,36,36,5875.36,90,0.4
C101874,32,32,3061.28,83,0.386
C102375,30,30,3192.8,80,0.375
C101715,30,30,3299.36,81,0.37
C100837,29,27,4795.98,79,0.367
C100312,28,28,4384.28,77,0.364
C102218,29,29,3800.39,80,0.362
