customer_id,day,in_count,out_count,in_amount,out_amount,tx_count,cross_border_count,daily_pass_through_flag
C101852,2025-09-03,1,2,8003.34,51733.8,3,0,True
C101435,2025-07-28,1,2,14113.8,27974.17,3,0,True
C100789,2025-08-15,1,2,8947.99,25486.14,3,1,True
C100401,2025-07-21,2,2,24197.22,25205.26,4,0,True
C102340,2025-07-28,1,2,5401.44,23664.49,3,1,True
C102415,2025-09-05,1,2,12001.4,20618.410000000003,3,0,True
C100440,2025-07-27,1,2,6761.26,16855.42,3,0,True
C102299,2025-08-29,1,2,10038.54,16091.31,3,0,True
C102327,2025-10-02,1,2,5327.4,15264.11,3,1,True
C101426,2025-08-24,1,2,5119.99,14505.13,3,1,True
C102028,2025-07-22,1,2,11647.8,12272.14,3,0,True
C102032,2025-09-17,1,2,9270.14,12230.3,3,0,True
C101478,2025-09-30,1,2,5758.8,12162.98,3,0,True
C102136,2025-09-12,1,2,12732.42,12067.2,3,0,True
C101221,2025-09-06,1,3,5851.29,11339.08,4,0,True
C102484,2025-08-20,1,2,7637.32,10937.26,3,1,True
C100465,2025-09-06,1,3,5930.53,10042.07,4,0,True
C102357,2025-07-06,1,2,8386.73,9573.62,3,0,True
C100447,2025-08-25,1,3,6563.06,9068.86,4,2,True
C100214,2025-09-28,1,2,8367.58,9061.779999999999,3,1,True
C101637,2025-07-26,2,2,5879.43,9038.189999999999,4,1,True
C100801,2025-09-06,1,2,8894.84,9032.71,3,1,True
C101599,2025-07-11,1,2,8383.91,8519.52,3,0,True
C100468,2025-08-06,1,2,6305.25,8313.04,3,1,True
C101723,2025-08-26,1,2,6370.76,8227.57,3,2,True
C100648,2025-08-27,1,2,8521.31,8019.24,3,0,True
C100949,2025-07-03,2,2,8030.05,7971.63,4,2,True
C102307,2025-07-28,1,2,5827.71,7858.52,3,0,True
C102437,2025-07-16,1,2,10600.3,7713.030000000001,3,0,True
C101242,2025-09-22,1,2,7678.06,6669.54,3,1,True
C102466,2025-07-23,1,2,6409.48,5768.49,3,1,True
C102116,2025-09-02,1,2,5916.46,4592.209999999999,3,0,True
