customer_id,prev_transaction_id,curr_transaction_id,prev_timestamp,curr_timestamp,hours_between,distance_km,implied_speed_kmh,prev_rail,curr_rail,prev_amount_brl,curr_amount_brl,prev_geo_country,curr_geo_country,prev_ip_country,curr_ip_country,prev_country_risk_geo,curr_country_risk_geo,prev_country_risk_ip,curr_country_risk_ip,prev_ip_anomaly,curr_ip_anomaly,prev_ip_proxy_vpn_tor,curr_ip_proxy_vpn_tor,prev_device_rooted,curr_device_rooted,prev_cross_border,curr_cross_border,risk_flags,severity,priority_candidate,rule_id,rule_name
C100392,T8DGGXAWXFEVX,THL18899DG0S9,2025-07-06 23:28:02,2025-07-07 00:38:39,1.177,19172.7,16290.2,Card,Card,1443.6,1792.16,CN,BR,BR,BR,Low,Low,Low,Low,No,No,None,Tor,No,No,Yes,No,proxy_vpn_tor;cross_border;geo_country_change,Alta,Yes,R17,Geo-salto físico improvável
C100175,TW1YB5B4HQ5FE,TEQWZI47CYGDF,2025-07-01 21:02:58,2025-07-02 00:30:08,3.453,18946.4,5487.3,Card,PIX,557.83,1515.05,BR,MM,BR,BR,Low,High,Low,Low,No,No,None,None,No,No,No,Yes,geo_country_high_risk;cross_border;geo_country_change,Alta,Yes,R17,Geo-salto físico improvável
C101840,TXWQCS7WA7A8F,T79ASGBY4HSJI,2025-08-23 23:34:27,2025-08-24 01:52:43,2.304,18754.7,8138.5,Card,PIX,295.14,684.66,CN,BR,BR,BR,Low,Low,Low,Low,No,No,None,None,No,No,Yes,No,cross_border;geo_country_change,Alta,Yes,R17,Geo-salto físico improvável
C101000,TJ4PR2XBNKROB,T1SFFAQ8Z8EJV,2025-07-21 03:45:36,2025-07-21 11:37:49,7.87,18743.5,2381.6,PIX,PIX,14324.1,2503.12,CN,BR,BR,BR,Low,Low,Low,Low,No,No,Proxy,None,No,No,Yes,No,proxy_vpn_tor;cross_border;geo_country_change,Alta,Yes,R17,Geo-salto físico improvável
C101393,TWIRJQVO9IIGT,TLOXEOYK86WNS,2025-09-14 15:01:58,2025-09-15 02:33:56,11.533,18729.3,1624.0,PIX,Card,4676.21,3134.51,MM,BR,BR,BR,High,Low,Low,Low,No,No,None,None,No,Yes,Yes,No,geo_country_high_risk;device_rooted;cross_border;geo_country_change,Alta,Yes,R17,Geo-salto físico improvável
C100999,TB98HD43FFTL6,T8MKNFHNU1TWG,2025-08-20 14:54:40,2025-08-20 16:03:33,1.148,18570.0,16175.2,Wire,Card,1769.82,11622.73,KP,BR,BR,BR,High,Low,Low,Low,No,No,None,None,No,No,Yes,No,geo_country_high_risk;cross_border;geo_country_change,Alta,Yes,R17,Geo-salto físico improvável
C101251,TDZPBYRW9PJ4P,TH27K67ZZARP6,2025-08-09 15:00:06,2025-08-09 16:41:52,1.696,18373.8,10832.9,PIX,PIX,399.24,2763.87,CN,BR,BR,BR,Low,Low,Low,Low,No,No,None,None,No,No,Yes,No,cross_border;geo_country_change,Alta,Yes,R17,Geo-salto físico improvável
C100931,TDC9BGVJ57XUQ,T02F7E8238N0W,2025-08-08 23:07:14,2025-08-09 09:37:52,10.511,18363.0,1747.1,PIX,PIX,5751.06,1763.52,BR,CN,BR,BR,Low,Low,Low,Low,No,No,Tor,None,No,No,No,Yes,proxy_vpn_tor;cross_border;geo_country_change,Alta,Yes,R17,Geo-salto físico improvável
C101426,TL4EPOYFYHYKO,T2UHTEPM8R3OJ,2025-09-13 20:23:11,2025-09-13 21:53:57,1.513,18318.2,12109.0,Card,PIX,2607.67,1201.85,CN,BR,BR,BR,Low,Low,Low,Low,No,No,None,None,No,No,Yes,No,cross_border;geo_country_change,Alta,Yes,R17,Geo-salto físico improvável
C100227,TPZGP0O1FCZRE,TVHN59NUZQ32U,2025-08-29 05:20:12,2025-08-29 14:01:11,8.683,18267.3,2103.8,PIX,Card,2360.2,935.34,BR,MM,BR,AR,Low,High,Low,Low,No,No,None,None,No,No,No,Yes,geo_country_high_risk;cross_border;geo_country_change,Alta,Yes,R17,Geo-salto físico improvável
