rule_id,rule_name,level,rail,observations,hits,hit_rate
R01,R01_tx_sanctions_screening_hit,transaction,PIX,31547,0,0
R01,R01_tx_sanctions_screening_hit,transaction,Card,17930,0,0
R01,R01_tx_sanctions_screening_hit,transaction,Wire,2523,2,0.000792707094728
R02,R02_subject_on_sanctions_list,transaction,PIX,31547,104,0.00329666846293
R02,R02_subject_on_sanctions_list,transaction,Card,17930,71,0.00395984383714
R02,R02_subject_on_sanctions_list,transaction,Wire,2523,9,0.00356718192628
R03,R03_pep_crossborder_or_high_value,transaction,PIX,31547,282,0.00893904333217
R03,R03_pep_crossborder_or_high_value,transaction,Card,17930,150,0.00836586726157
R03,R03_pep_crossborder_or_high_value,transaction,Wire,2523,23,0.00911613158938
R04,R04_wire_to_high_risk_country,transaction,PIX,31547,0,0
R04,R04_wire_to_high_risk_country,transaction,Card,17930,0,0
R04,R04_wire_to_high_risk_country,transaction,Wire,2523,27,0.0107015457788
R05,R05_crossborder_high_risk_receiver,transaction,PIX,31547,327,0.0103654864171
R05,R05_crossborder_high_risk_receiver,transaction,Card,17930,161,0.00897936419409
R05,R05_crossborder_high_risk_receiver,transaction,Wire,2523,27,0.0107015457788
R06,R06_geo_or_ip_high_risk,transaction,PIX,31547,486,0.0154055853171
R06,R06_geo_or_ip_high_risk,transaction,Card,17930,259,0.0144450641383
R06,R06_geo_or_ip_high_risk,transaction,Wire,2523,37,0.0146650812525
R07,R07_large_amount_50k_plus,transaction,PIX,31547,48,0.00152153929058
R07,R07_large_amount_50k_plus,transaction,Card,17930,35,0.00195203569437
R07,R07_large_amount_50k_plus,transaction,Wire,2523,7,0.00277447483155
R08,R08_card_ecommerce_without_3ds,transaction,PIX,31547,0,0
R08,R08_card_ecommerce_without_3ds,transaction,Card,17930,1054,0.0587841606247
R08,R08_card_ecommerce_without_3ds,transaction,Wire,2523,0,0
R09,R09_chargeback_status,transaction,PIX,31547,645,0.0204456842172
R09,R09_chargeback_status,transaction,Card,17930,373,0.0208031232571
R09,R09_chargeback_status,transaction,Wire,2523,52,0.0206103844629
R10,R10_high_risk_mcc,transaction,PIX,31547,9532,0.302152344121
R10,R10_high_risk_mcc,transaction,Card,17930,5397,0.301003904071
R10,R10_high_risk_mcc,transaction,Wire,2523,767,0.304003170828
R11,R11_high_risk_merchant_or_cb_ratio,transaction,PIX,31547,8361,0.265033125178
R11,R11_high_risk_merchant_or_cb_ratio,transaction,Card,17930,4737,0.26419408812
R11,R11_high_risk_merchant_or_cb_ratio,transaction,Wire,2523,686,0.271898533492
R12,R12_self_merchant,transaction,PIX,31547,2,6.33974704409e-05
R12,R12_self_merchant,transaction,Card,17930,0,0
R12,R12_self_merchant,transaction,Wire,2523,1,0.000396353547364
R13,R13_ip_anomaly_or_proxy_tor_vpn,transaction,PIX,31547,2310,0.0732240783593
R13,R13_ip_anomaly_or_proxy_tor_vpn,transaction,Card,17930,1348,0.0751812604573
R13,R13_ip_anomaly_or_proxy_tor_vpn,transaction,Wire,2523,181,0.0717399920729
R14,R14_rooted_device,transaction,PIX,31547,944,0.0299236060481
R14,R14_rooted_device,transaction,Card,17930,525,0.0292805354155
R14,R14_rooted_device,transaction,Wire,2523,93,0.0368608799049
R15,R15_near_10k_structuring_proxy,transaction,PIX,31547,589,0.0186705550449
R15,R15_near_10k_structuring_proxy,transaction,Card,17930,359,0.0200223089794
R15,R15_near_10k_structuring_proxy,transaction,Wire,2523,40,0.0158541418946
R16,R16_low_income_high_single_tx,transaction,PIX,31547,3036,0.0962373601293
R16,R16_low_income_high_single_tx,transaction,Card,17930,1641,0.0915225878416
R16,R16_low_income_high_single_tx,transaction,Wire,2523,204,0.0808561236623
