rule_id,rule_name,level,rail,customer_months,hits,hit_rate,rail_presence_non_exclusive
M01,M01_monthly_out_of_profile_dynamic,customer_month,PIX,8608,5642,0.655436802974,True
M01,M01_monthly_out_of_profile_dynamic,customer_month,Card,7690,5380,0.699609882965,True
M01,M01_monthly_out_of_profile_dynamic,customer_month,Wire,2398,1885,0.786071726439,True
M02,M02_velocity_high_volume,customer_month,PIX,8608,66,0.00766728624535,True
M02,M02_velocity_high_volume,customer_month,Card,7690,66,0.00858257477243,True
M02,M02_velocity_high_volume,customer_month,Wire,2398,33,0.0137614678899,True
M03,M03_structuring_near_10k_repeated,customer_month,PIX,8608,4,0.00046468401487,True
M03,M03_structuring_near_10k_repeated,customer_month,Card,7690,4,0.000520156046814,True
M03,M03_structuring_near_10k_repeated,customer_month,Wire,2398,1,0.000417014178482,True
M04,M04_cashin_to_cashout_pass_through_proxy,customer_month,PIX,8608,2230,0.25906133829,True
M04,M04_cashin_to_cashout_pass_through_proxy,customer_month,Card,7690,2187,0.284395318596,True
M04,M04_cashin_to_cashout_pass_through_proxy,customer_month,Wire,2398,888,0.370308590492,True
M05,M05_crossborder_concentration,customer_month,PIX,8608,813,0.0944470260223,True
M05,M05_crossborder_concentration,customer_month,Card,7690,788,0.102470741222,True
M05,M05_crossborder_concentration,customer_month,Wire,2398,275,0.114678899083,True
M06,M06_high_risk_country_repeated,customer_month,PIX,8608,18,0.00209107806691,True
M06,M06_high_risk_country_repeated,customer_month,Card,7690,18,0.00234070221066,True
M06,M06_high_risk_country_repeated,customer_month,Wire,2398,5,0.00208507089241,True
M07,M07_sanctions_any_period,customer_month,PIX,8608,33,0.00383364312268,True
M07,M07_sanctions_any_period,customer_month,Card,7690,28,0.0036410923277,True
M07,M07_sanctions_any_period,customer_month,Wire,2398,11,0.0045871559633,True
M08,M08_pep_high_volume,customer_month,PIX,8608,48,0.00557620817844,True
M08,M08_pep_high_volume,customer_month,Card,7690,48,0.00624187256177,True
M08,M08_pep_high_volume,customer_month,Wire,2398,14,0.00583819849875,True
M09,M09_high_risk_mcc_repeated,customer_month,PIX,8608,411,0.0477462825279,True
M09,M09_high_risk_mcc_repeated,customer_month,Card,7690,403,0.0524057217165,True
M09,M09_high_risk_mcc_repeated,customer_month,Wire,2398,170,0.070892410342,True
M10,M10_ecommerce_no3ds_repeated,customer_month,PIX,8608,77,0.00894516728625,True
M10,M10_ecommerce_no3ds_repeated,customer_month,Card,7690,78,0.0101430429129,True
M10,M10_ecommerce_no3ds_repeated,customer_month,Wire,2398,20,0.00834028356964,True
M11,M11_device_ip_risk_repeated,customer_month,PIX,8608,139,0.0161477695167,True
M11,M11_device_ip_risk_repeated,customer_month,Card,7690,137,0.0178153446034,True
M11,M11_device_ip_risk_repeated,customer_month,Wire,2398,45,0.0187656380317,True
M12,M12_self_merchant_any,customer_month,PIX,8608,3,0.000348513011152,True
M12,M12_self_merchant_any,customer_month,Card,7690,3,0.000390117035111,True
M12,M12_self_merchant_any,customer_month,Wire,2398,1,0.000417014178482,True
