rule_a_id,rule_a_name,rule_b_id,rule_b_name,level,hits_a,hits_b,both_hits,union_hits,jaccard,overlap_coefficient,p_a_given_b,p_b_given_a,high_jaccard_candidate,high_overlap_candidate,a_empirically_contained_in_b,b_empirically_contained_in_a,review_required
M01,M01_monthly_out_of_profile_dynamic,M02,M02_velocity_high_volume,customer_month,5673,66,66,5673,0.011634056055,1,1,0.011634056055,False,True,False,True,True
M01,M01_monthly_out_of_profile_dynamic,M03,M03_structuring_near_10k_repeated,customer_month,5673,4,4,5673,0.000705094306363,1,1,0.000705094306363,False,True,False,True,True
M01,M01_monthly_out_of_profile_dynamic,M04,M04_cashin_to_cashout_pass_through_proxy,customer_month,5673,2231,2231,5673,0.393266349374,1,1,0.393266349374,False,True,False,True,True
M01,M01_monthly_out_of_profile_dynamic,M05,M05_crossborder_concentration,customer_month,5673,814,708,5779,0.122512545423,0.869778869779,0.869778869779,0.124801692226,False,False,False,False,False
M01,M01_monthly_out_of_profile_dynamic,M06,M06_high_risk_country_repeated,customer_month,5673,18,17,5674,0.00299612266479,0.944444444444,0.944444444444,0.00299665080204,False,True,False,False,True
M01,M01_monthly_out_of_profile_dynamic,M07,M07_sanctions_any_period,customer_month,5673,36,21,5688,0.00369198312236,0.583333333333,0.583333333333,0.00370174510841,False,False,False,False,False
M01,M01_monthly_out_of_profile_dynamic,M08,M08_pep_high_volume,customer_month,5673,48,48,5673,0.00846113167636,1,1,0.00846113167636,False,True,False,True,True
M01,M01_monthly_out_of_profile_dynamic,M09,M09_high_risk_mcc_repeated,customer_month,5673,411,389,5695,0.0683055311677,0.946472019465,0.946472019465,0.0685704212938,False,True,False,False,True
M01,M01_monthly_out_of_profile_dynamic,M10,M10_ecommerce_no3ds_repeated,customer_month,5673,78,65,5686,0.0114315863524,0.833333333333,0.833333333333,0.0114577824784,False,False,False,False,False
M01,M01_monthly_out_of_profile_dynamic,M11,M11_device_ip_risk_repeated,customer_month,5673,139,132,5680,0.0232394366197,0.94964028777,0.94964028777,0.02326811211,False,True,False,False,True
M01,M01_monthly_out_of_profile_dynamic,M12,M12_self_merchant_any,customer_month,5673,3,3,5673,0.000528820729773,1,1,0.000528820729773,False,True,False,True,True
M02,M02_velocity_high_volume,M03,M03_structuring_near_10k_repeated,customer_month,66,4,0,70,0,0,0,0,False,False,False,False,False
M02,M02_velocity_high_volume,M04,M04_cashin_to_cashout_pass_through_proxy,customer_month,66,2231,59,2238,0.02636282395,0.893939393939,0.0264455401165,0.893939393939,False,False,False,False,False
M02,M02_velocity_high_volume,M05,M05_crossborder_concentration,customer_month,66,814,6,874,0.00686498855835,0.0909090909091,0.00737100737101,0.0909090909091,False,False,False,False,False
M02,M02_velocity_high_volume,M06,M06_high_risk_country_repeated,customer_month,66,18,1,83,0.0120481927711,0.0555555555556,0.0555555555556,0.0151515151515,False,False,False,False,False
M02,M02_velocity_high_volume,M07,M07_sanctions_any_period,customer_month,66,36,0,102,0,0,0,0,False,False,False,False,False
M02,M02_velocity_high_volume,M08,M08_pep_high_volume,customer_month,66,48,6,108,0.0555555555556,0.125,0.125,0.0909090909091,False,False,False,False,False
M02,M02_velocity_high_volume,M09,M09_high_risk_mcc_repeated,customer_month,66,411,27,450,0.06,0.409090909091,0.0656934306569,0.409090909091,False,False,False,False,False
M02,M02_velocity_high_volume,M10,M10_ecommerce_no3ds_repeated,customer_month,66,78,3,141,0.0212765957447,0.0454545454545,0.0384615384615,0.0454545454545,False,False,False,False,False
M02,M02_velocity_high_volume,M11,M11_device_ip_risk_repeated,customer_month,66,139,7,198,0.0353535353535,0.106060606061,0.0503597122302,0.106060606061,False,False,False,False,False
M02,M02_velocity_high_volume,M12,M12_self_merchant_any,customer_month,66,3,1,68,0.0147058823529,0.333333333333,0.333333333333,0.0151515151515,False,False,False,False,False
M03,M03_structuring_near_10k_repeated,M04,M04_cashin_to_cashout_pass_through_proxy,customer_month,4,2231,1,2234,0.000447627573859,0.25,0.000448229493501,0.25,False,False,False,False,False
M03,M03_structuring_near_10k_repeated,M05,M05_crossborder_concentration,customer_month,4,814,2,816,0.00245098039216,0.5,0.002457002457,0.5,False,False,False,False,False
M03,M03_structuring_near_10k_repeated,M06,M06_high_risk_country_repeated,customer_month,4,18,0,22,0,0,0,0,False,False,False,False,False
M03,M03_structuring_near_10k_repeated,M07,M07_sanctions_any_period,customer_month,4,36,0,40,0,0,0,0,False,False,False,False,False
M03,M03_structuring_near_10k_repeated,M08,M08_pep_high_volume,customer_month,4,48,0,52,0,0,0,0,False,False,False,False,False
M03,M03_structuring_near_10k_repeated,M09,M09_high_risk_mcc_repeated,customer_month,4,411,1,414,0.0024154589372,0.25,0.00243309002433,0.25,False,False,False,False,False
M03,M03_structuring_near_10k_repeated,M10,M10_ecommerce_no3ds_repeated,customer_month,4,78,0,82,0,0,0,0,False,False,False,False,False
M03,M03_structuring_near_10k_repeated,M11,M11_device_ip_risk_repeated,customer_month,4,139,0,143,0,0,0,0,False,False,False,False,False
M03,M03_structuring_near_10k_repeated,M12,M12_self_merchant_any,customer_month,4,3,0,7,0,0,0,0,False,False,False,False,False
M04,M04_cashin_to_cashout_pass_through_proxy,M05,M05_crossborder_concentration,customer_month,2231,814,310,2735,0.113345521024,0.380835380835,0.380835380835,0.138951142985,False,False,False,False,False
M04,M04_cashin_to_cashout_pass_through_proxy,M06,M06_high_risk_country_repeated,customer_month,2231,18,8,2241,0.00356983489514,0.444444444444,0.444444444444,0.00358583594801,False,False,False,False,False
M04,M04_cashin_to_cashout_pass_through_proxy,M07,M07_sanctions_any_period,customer_month,2231,36,10,2257,0.00443066016837,0.277777777778,0.277777777778,0.00448229493501,False,False,False,False,False
