feature,importance_gain_proxy
num__high_risk_receiver_country_count,0.2536376
num__high_risk_any_country_count,0.15948302
num__merchant_high_risk_count,0.04400984
num__ip_anomaly_count,0.03562811
num__received_count,0.030804425
num__merchant_high_risk_share,0.028489297
num__mcc_high_risk_count,0.027387457
num__device_rooted_count,0.026452407
num__mcc_high_risk_share,0.024229331
cat__pep_Yes,0.023615066
num__avg_amount,0.023577569
cat__pep_No,0.022601597
num__zscore_vs_occupation_total,0.022054406
num__cross_border_count,0.021483153
num__ecom_no_3ds_count,0.020045277
cat__risk_rating_High,0.017444834
num__total_amount,0.014221823
num__ratio_to_occupation_median_total,0.013092908
num__max_amount,0.012529223
num__high_value_50k_count,0.011847828
num__pass_through_ratio,0.011147437
num__cash_in_total,0.009957433
num__unique_counterparties,0.008593386
cat__risk_rating_Low,0.007803606
num__std_amount,0.0072354376
num__annual_income_brl,0.0072069624
num__tx_count,0.006546279
num__cash_in_count,0.005840603
num__geo_tx_count,0.0057940152
num__sent_count,0.0055390126
num__pix_count,0.00525322
cat__city_Porto Alegre,0.0044904165
cat__state_RS,0.0044151796
num__cross_border_share,0.004356163
num__geo_tx_per_day,0.004225458
cat__declared_occupation_Mechanic,0.004148741
num__cash_out_total,0.0040283487
num__months_since_registration,0.0038832473
num__net_flow,0.0038669547
cat__declared_occupation_Student,0.0037067083
num__cash_out_count,0.0036936987
num__occupation_month_median_total,0.003602144
cat__state_DF,0.0035321715
cat__state_BA,0.0034978655
num__device_rooted_share,0.0033682955
num__wire_share,0.003363515
num__card_count,0.0029117246
cat__kyc_tier_L3,0.0027725366
cat__city_Fortaleza,0.002765062
num__geo_avg_amount,0.0025756361
num__kyc_risk_score,0.0025726785
num__pix_share,0.0023094183
num__age,0.0022898929
cat__kyc_tier_L1,0.002240443
num__card_share,0.0021334605
num__median_amount,0.0019114539
num__geo_tx_window_days,0.0016868988
num__geo_counterparties,0.0013301765
cat__beneficial_owner_No,0.0007691321
cat__city_Manaus,0.0
cat__city_Goiânia,0.0
cat__city_Florianópolis,0.0
cat__state_CE,0.0
cat__country_BR,0.0
cat__state_AM,0.0
cat__declared_occupation_Trader,0.0
cat__risk_rating_Medium,0.0
cat__declared_occupation_Store Owner,0.0
cat__declared_occupation_Dentist,0.0
cat__declared_occupation_Driver,0.0
cat__declared_occupation_Designer,0.0
cat__declared_occupation_Entrepreneur,0.0
cat__declared_occupation_Freelancer,0.0
cat__declared_occupation_Lawyer,0.0
cat__declared_occupation_Nurse,0.0
cat__declared_occupation_Accountant,0.0
cat__declared_occupation_Chef,0.0
cat__declared_occupation_Consultant,0.0
cat__city_Curitiba,0.0
cat__city_Brasília,0.0
cat__city_Campinas,0.0
cat__city_Belém,0.0
cat__city_Belo Horizonte,0.0
cat__state_PR,0.0
cat__state_SP,0.0
cat__state_SC,0.0
cat__state_RN,0.0
cat__state_PE,0.0
cat__state_RJ,0.0
cat__state_MG,0.0
cat__state_PA,0.0
cat__declared_occupation_Software Engineer,0.0
cat__declared_occupation_Teacher,0.0
cat__state_GO,0.0
cat__city_São Paulo,0.0
num__wire_count,0.0
cat__kyc_tier_L2,0.0
cat__sanctions_list_hit_No,0.0
cat__city_Recife,0.0
cat__beneficial_owner_Yes,0.0
cat__sanctions_list_hit_Yes,0.0
cat__city_Salvador,0.0
cat__city_Rio de Janeiro,0.0
cat__city_Natal,0.0
num__round_1000_count,0.0
num__sanctions_tx_count,0.0
num__round_100_count,0.0
