feature,mean_abs_shap,mean_shap
num__high_risk_any_country_count,2.4145155,-1.9249823
num__total_amount,0.71042883,-0.56939304
num__mcc_high_risk_share,0.5982574,-0.14936945
num__annual_income_brl,0.45311895,-0.13144208
num__merchant_high_risk_share,0.39391226,-0.13050626
num__pass_through_ratio,0.31790787,-0.14215595
num__ip_anomaly_count,0.26621324,-0.2044348
num__device_rooted_count,0.25805146,-0.18553352
cat__pep_No,0.24877171,-0.1436148
cat__risk_rating_High,0.22694755,-0.07541335
num__ratio_to_occupation_median_total,0.22430244,-0.0970926
num__merchant_high_risk_count,0.22079405,-0.17820127
num__cash_in_total,0.16753002,-0.13527599
num__zscore_vs_occupation_total,0.13659619,-0.08404839
num__mcc_high_risk_count,0.13111664,-0.098716535
num__cross_border_share,0.122380175,-0.09275576
num__ecom_no_3ds_count,0.1210132,-0.10185608
cat__risk_rating_Low,0.11015905,-0.019704934
num__tx_count,0.107615,-0.097667664
num__occupation_month_median_total,0.10043013,-0.09618334
num__high_risk_receiver_country_count,0.095169455,-0.07075318
num__cross_border_count,0.08891115,-0.060134035
num__cash_out_total,0.079640254,-0.062793806
num__avg_amount,0.07909094,-0.049252573
cat__pep_Yes,0.06609462,-0.03683363
num__geo_tx_per_day,0.06411062,-0.02064947
num__high_value_50k_count,0.05776101,-0.047197606
num__unique_counterparties,0.055924743,-0.051340215
num__net_flow,0.046084553,0.002789089
num__max_amount,0.042837586,-0.037978012
num__sent_count,0.041904327,-0.03559682
num__pix_count,0.036425315,-0.032764114
num__kyc_risk_score,0.025881194,-0.01024784
num__age,0.02571442,-0.013088075
num__cash_in_count,0.023714827,-0.018298173
num__median_amount,0.021802243,-0.006902581
num__std_amount,0.02157539,-0.017785542
num__device_rooted_share,0.020982161,-0.012466608
num__geo_tx_count,0.020226398,-0.0046064937
num__pix_share,0.018727168,-0.012461989
num__geo_tx_window_days,0.011938532,-0.0070096976
cat__kyc_tier_L1,0.010398391,-0.0036290095
num__geo_avg_amount,0.010072793,-0.0055076443
cat__state_BA,0.0099221775,-0.0034445275
num__card_share,0.009817176,-0.00475123
num__card_count,0.008730182,-0.0065302732
num__months_since_registration,0.007992968,-0.0048077293
num__received_count,0.0059531443,-0.0025273832
cat__kyc_tier_L3,0.0053941705,-0.0027246764
cat__state_DF,0.005147479,-0.00083287753
cat__declared_occupation_Mechanic,0.0046691853,-0.00074665487
num__cash_out_count,0.004257545,-0.0008982526
cat__city_Fortaleza,0.0034920732,-0.0008746168
cat__state_RS,0.002567404,-0.0010719914
cat__city_Porto Alegre,0.002418184,-0.0008416852
cat__declared_occupation_Student,0.0020468333,-0.0011842593
num__geo_counterparties,0.0015437165,-0.0006255593
num__wire_share,0.0009414003,-0.00066192815
cat__beneficial_owner_No,0.00035143402,-0.00020313635
cat__city_Manaus,0.0,0.0
cat__city_Goiânia,0.0,0.0
cat__city_Florianópolis,0.0,0.0
cat__state_CE,0.0,0.0
cat__country_BR,0.0,0.0
cat__state_AM,0.0,0.0
cat__declared_occupation_Trader,0.0,0.0
cat__risk_rating_Medium,0.0,0.0
cat__declared_occupation_Store Owner,0.0,0.0
cat__declared_occupation_Dentist,0.0,0.0
cat__declared_occupation_Driver,0.0,0.0
cat__declared_occupation_Designer,0.0,0.0
cat__declared_occupation_Entrepreneur,0.0,0.0
cat__declared_occupation_Freelancer,0.0,0.0
cat__declared_occupation_Lawyer,0.0,0.0
cat__declared_occupation_Nurse,0.0,0.0
cat__declared_occupation_Accountant,0.0,0.0
cat__declared_occupation_Chef,0.0,0.0
cat__declared_occupation_Consultant,0.0,0.0
cat__city_Curitiba,0.0,0.0
cat__city_Brasília,0.0,0.0
cat__city_Campinas,0.0,0.0
cat__city_Belém,0.0,0.0
cat__city_Belo Horizonte,0.0,0.0
cat__state_PR,0.0,0.0
cat__state_SP,0.0,0.0
cat__state_SC,0.0,0.0
cat__state_RN,0.0,0.0
cat__state_PE,0.0,0.0
cat__state_RJ,0.0,0.0
cat__state_MG,0.0,0.0
cat__state_PA,0.0,0.0
cat__declared_occupation_Software Engineer,0.0,0.0
cat__declared_occupation_Teacher,0.0,0.0
cat__state_GO,0.0,0.0
cat__city_São Paulo,0.0,0.0
num__wire_count,0.0,0.0
cat__kyc_tier_L2,0.0,0.0
cat__sanctions_list_hit_No,0.0,0.0
cat__city_Recife,0.0,0.0
cat__beneficial_owner_Yes,0.0,0.0
cat__sanctions_list_hit_Yes,0.0,0.0
cat__city_Salvador,0.0,0.0
cat__city_Rio de Janeiro,0.0,0.0
cat__city_Natal,0.0,0.0
num__round_1000_count,0.0,0.0
num__sanctions_tx_count,0.0,0.0
num__round_100_count,0.0,0.0
