customer_id,month,ml_split,weak_label,declared_occupation,kyc_tier,state,city,beneficial_owner,age,months_since_registration,annual_income_brl,kyc_risk_score,avg_amount,max_amount,confirmed_count,pix_count,card_count,wire_count,peer_group_size,peer_total_amount_median,peer_total_amount_mean,peer_total_amount_std,ratio_to_peer_median_total,zscore_vs_peer_total
C100000,2025-07,train,0,Dentist,L1,SP,São Paulo,No,48.3175906913,10.7095926413,46542,50,2951.68625,7244.01,6,6,1,1,146,30401.93,34876.1202055,20775.6767143,0.776710228594,-0.542106539314
C100001,2025-07,train,0,Student,L3,SP,São Paulo,No,31.9917864476,60.7095926413,10005,60,3933.22333333,12823.87,5,6,0,0,160,33855.63,38361.6775,22249.0287015,0.697058066856,-0.663504807245
C100002,2025-07,train,0,Freelancer,L3,AM,Manaus,Yes,16.334017796,53.8436268068,30667,72,3629.81230769,8776.55,13,7,6,0,174,28309.23,32684.705977,19428.8718228,1.66686130283,0.746458886302
C100003,2025-07,train,1,Dentist,L3,PR,Curitiba,No,35.1403148528,42.7726675427,22321,54,4645.184,13415.55,10,5,4,1,146,30084.35,34719.6931507,20773.8968735,1.54405330346,0.564754264486
C100004,2025-07,train,1,Teacher,L1,CE,Fortaleza,No,21.6509240246,20.926412615,23013,62,4043.761,10937.96,9,7,3,0,151,30418.11,32310.7207285,18528.2466533,1.32939258882,0.438621604278
C100005,2025-07,train,0,Freelancer,L2,RJ,Rio de Janeiro,No,26.6529774127,30.6504599212,45407,63,4794.85333333,11963.57,8,7,1,1,174,28309.23,32707.8891954,19443.8369023,1.52436784752,0.537228884251
C100006,2025-07,train,0,Student,L2,RJ,Rio de Janeiro,No,12.772073922,37.6149802891,15864,30,5514.39888889,15748.02,7,4,5,0,160,33717.335,38198.9884375,22261.2830761,1.4719309815,0.513474516425
C100007,2025-07,train,1,Chef,L2,SP,Campinas,No,28.9555099247,11.0709592641,31276,51,4427.25727273,21930.26,10,6,4,1,167,31316.44,35842.5520958,20607.5831455,1.55508831783,0.623910034157
C100008,2025-07,train,1,Designer,L3,PR,Curitiba,No,44.0082135524,10.5781865966,5862,70,4694.599,19335.81,10,6,4,0,158,33842.82,36201.5796203,18937.9825864,1.3871772506,0.567347146442
C100009,2025-07,train,0,Lawyer,L1,CE,Fortaleza,No,31.7864476386,13.0749014455,7734,89,5939.281,11484.9,10,5,4,1,146,32005.475,33940.1857534,17511.5149519,1.85570781249,1.45347928586
